Participant,Station Name,Region,DUID,Bid Type,Max Cap (MW),Min Enablement Level,Max Enablement Level,Max Lower Angle,Max Upper Angle
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Lower60sec,73.0,0.0,300.0,45.0,90.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Lower6sec,17.0,0.0,300.0,45.0,90.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Lowerreg,300.0,0.0,300.0,45.0,90.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raise5min,0.0,0.0,0.0,0.0,0.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raise60sec,79.0,0.0,300.0,90.0,45.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raise6sec,11.0,0.0,300.0,90.0,45.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raisereg,300.0,0.0,300.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Lower60sec,90.0,0.0,180.0,45.0,90.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Lower6sec,20.0,0.0,180.0,45.0,90.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Lowerreg,176.0,0.0,180.0,45.0,90.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raise5min,176.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raise60sec,90.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raise6sec,20.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raisereg,176.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Lower60sec,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Lower6sec,12.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Lowerreg,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raise5min,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raise60sec,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raise6sec,10.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raisereg,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Lower60sec,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Lower6sec,12.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Lowerreg,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raise5min,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raise60sec,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raise6sec,10.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raisereg,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA1,Lower60sec,7.0,0.0,34.0,45.0,90.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA1,Lower6sec,6.0,0.0,34.0,45.0,90.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA1,Lowerreg,34.0,0.0,34.0,45.0,90.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA1,Raise60sec,7.0,0.0,34.0,90.0,45.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA1,Raise6sec,5.0,0.0,34.0,90.0,45.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA1,Raisereg,34.0,0.0,34.0,90.0,45.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA2,Lower60sec,7.0,0.0,34.0,45.0,90.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA2,Lower6sec,6.0,0.0,34.0,45.0,90.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA2,Lowerreg,34.0,0.0,34.0,45.0,90.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA2,Raise60sec,7.0,0.0,34.0,90.0,45.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA2,Raise6sec,5.0,0.0,34.0,90.0,45.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,WKIEWA2,Raisereg,34.0,0.0,34.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Lower5min,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Lower60sec,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Lower6sec,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Lowerreg,50.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Raise5min,30.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Raise60sec,30.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Raise6sec,20.0,300.0,580.0,90.0,34.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA1,Raisereg,50.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Lower5min,70.0,300.0,530.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Lower60sec,70.0,300.0,530.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Lower6sec,70.0,300.0,530.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Lowerreg,50.0,300.0,530.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Raise5min,30.0,300.0,530.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Raise60sec,30.0,300.0,530.0,90.0,24.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Raise6sec,20.0,300.0,530.0,90.0,16.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA2,Raisereg,50.0,300.0,530.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Lower5min,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Lower60sec,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Lower6sec,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Lowerreg,50.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Raise5min,30.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Raise60sec,30.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Raise6sec,20.0,300.0,580.0,90.0,34.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA3,Raisereg,50.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Lower5min,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Lower60sec,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Lower6sec,70.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Lowerreg,50.0,300.0,580.0,45.0,90.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Raise5min,30.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Raise60sec,30.0,300.0,580.0,90.0,45.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Raise6sec,20.0,300.0,580.0,90.0,34.0
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,LYA4,Raisereg,50.0,300.0,580.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Lower5min,66.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Lower60sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Lower6sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Lowerreg,100.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Raise5min,66.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Raise60sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Raise6sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW01,Raisereg,100.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Lower5min,66.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Lower60sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Lower6sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Lowerreg,100.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Raise5min,66.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Raise60sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Raise6sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW02,Raisereg,100.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Lower5min,66.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Lower60sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Lower6sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Lowerreg,100.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Raise5min,66.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Raise60sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Raise6sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW03,Raisereg,100.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Lower5min,66.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Lower60sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Lower6sec,66.0,234.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Lowerreg,100.0,240.0,690.0,45.0,90.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Raise5min,66.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Raise60sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Raise6sec,66.0,234.0,690.0,45.0,32.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,BW04,Raisereg,100.0,240.0,690.0,90.0,45.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Lower5min,30.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Lower60sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Lower6sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Lowerreg,20.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Raise5min,30.0,240.0,520.0,90.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Raise60sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Raise6sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD01,Raisereg,20.0,240.0,520.0,90.0,45.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Lower5min,30.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Lower60sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Lower6sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Lowerreg,20.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Raise5min,30.0,240.0,520.0,90.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Raise60sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Raise6sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD02,Raisereg,20.0,240.0,520.0,90.0,45.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Lower5min,30.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Lower60sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Lower6sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Lowerreg,20.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Raise5min,30.0,240.0,520.0,90.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Raise60sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Raise6sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD03,Raisereg,20.0,240.0,520.0,90.0,45.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Lower5min,30.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Lower60sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Lower6sec,100.0,150.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Lowerreg,20.0,240.0,520.0,45.0,90.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Raise5min,30.0,240.0,520.0,90.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Raise60sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Raise6sec,30.0,220.0,520.0,45.0,22.0
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,LD04,Raisereg,20.0,240.0,520.0,90.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA1,Lower60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA1,Lower6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA1,Lowerreg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA1,Raise60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA1,Raise6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA1,Raisereg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA2,Lower60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA2,Lower6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA2,Lowerreg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA2,Raise60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA2,Raise6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA2,Raisereg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA3,Lower60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA3,Lower6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA3,Lowerreg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA3,Raise60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA3,Raise6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA3,Raisereg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA4,Lower60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA4,Lower6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA4,Lowerreg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA4,Raise60sec,25.0,50.0,120.0,63.0,40.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA4,Raise6sec,10.0,50.0,120.0,50.0,22.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRA4,Raisereg,25.0,50.0,120.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Lower5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Lower60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Lower6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Lowerreg,25.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Raise5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Raise60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Raise6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB1,Raisereg,40.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Lower5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Lower60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Lower6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Lowerreg,25.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Raise5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Raise60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Raise6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB2,Raisereg,40.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Lower5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Lower60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Lower6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Lowerreg,25.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Raise5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Raise60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Raise6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB3,Raisereg,40.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Lower5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Lower60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Lower6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Lowerreg,25.0,40.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Raise5min,50.0,60.0,200.0,45.0,45.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Raise60sec,30.0,40.0,200.0,55.0,75.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Raise6sec,15.0,40.0,200.0,40.0,65.0
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,TORRB4,Raisereg,40.0,40.0,200.0,45.0,45.0
AGL South Australia Pty Limited,VPP AGLE SA 1,SA1,VSSAE1V1,Lower6sec,2.0,0.0,0.0,90.0,90.0
AGL South Australia Pty Limited,VPP AGLE SA 1,SA1,VSSAE1V1,Raise6sec,3.0,0.0,0.0,90.0,90.0
AGL South Australia Pty Limited,VPP AGLE SA 1,SA1,VSSAE1V1,Lower60sec,2.0,0.0,0.0,90.0,90.0
